# oracle = committed upstream .rc, verbatim copy, upstream tree NOT built
# target dir = shared/src/commonTest/resources/rc-corpus/  (loaded via okio FileSystem)
# columns: id, target_name, bytes, tier, role, source_path, generator, semantic
id	target_name	bytes	tier	role	source_path	generator	semantic
F1	procedure_simple1.rc	61	P0	writer-byte-equality	androidx/compose/remote/integration-tests/player-view-demos/src/main/res/raw/procedure_simple1.rc	BasicProceduralDemos.simple1()	RemoteComposeWriter(600,600,"Clock",6,0); drawCircle(150,150,150)
F2	procedure_simple2.rc	82	P0	writer-byte-equality	androidx/compose/remote/integration-tests/player-view-demos/src/main/res/raw/procedure_simple2.rc	BasicProceduralDemos.simple2()	RemoteComposeWriter(300,300,"Clock",6,0); setRootContentBehavior(NONE,ALIGNMENT_CENTER,SIZING_SCALE,SCALE_FIT); drawOval(0,0,FLOAT_WINDOW_WIDTH,FLOAT_WINDOW_HEIGHT)
F4	c_box.rc	128	P0	writer-byte-equality	androidx/compose/remote/integration-tests/player-view-demos/src/main/res/raw/c_box.rc	DemoBox.kt (RemoteComposeContextAndroid default apiLevel=8/profiles=0x200)	RemoteComposeContextAndroid(400,400,"DemoBox"){root{box(Modifier.size(200).background(Color.RED))}}.writer
F5	c_modifier_width.rc	128	P0	writer-byte-equality	androidx/compose/remote/integration-tests/player-view-demos/src/main/res/raw/c_modifier_width.rc	DemoModifierWidth.kt (default apiLevel=8/profiles=0x200)	RemoteComposeContextAndroid(400,400,"DemoModifierWidth"){root{box(Modifier.width(250).height(100).background(Color.BLUE))}}.writer
