doc,surfaceW,surfaceH,drawCount,status,deferredTags,note
flow_control_checks_flow_control_checks2,500,500,1,RENDERS,,
flow_control_checks_test_conditional,500,500,3,RENDERS,,
good_pie_chart,500,500,11,RENDERS,,
graph_graph1,300,300,54,RENDERS,,
graph_graph2,300,300,32,RENDERS,,
haptic_demo_demo_haptic1,1024,1204,44,RENDERS,,
heart_rate_timeline,500,400,13,RENDERS,,
hostile_actor1,500,500,101,RENDERS,,
hostile_actor1_c,500,500,62,RENDERS,,
hydration_wave,400,450,8,RENDERS,,
impulse_demo_confetti_demo,300,300,2,RENDERS,,
impulse_demo_hearts_demo,300,300,3,RENDERS,,
indexing_demo_path_index,500,500,4,RENDERS,,
linear_regression,500,500,151,RENDERS,,
maze,500,500,7,RENDERS,,
maze1,500,500,7,RENDERS,,
maze2,500,500,7,RENDERS,,
moon_phase_dial,400,400,16,RENDERS,,
moon_phases,500,500,5,RENDERS,,
particle,300,300,11,RENDERS,,
path_demo_path2,300,300,2,RENDERS,,
path_demo_path_tween_demo,300,300,5,RENDERS,,
path_demo_remote_construction,300,300,2,RENDERS,,
path_procedural_checks_all_path,300,300,1,RENDERS,,
path_procedural_checks_basic_path,300,300,1,RENDERS,,
paths_demos,500,500,91,RENDERS,PATH_EFFECT_DASH_DEGENERATE;PATH_EFFECT_DISCRETE;PATH_EFFECT_PATHDASH_DEGENERATE;PATH_EFFECT_SUM,
pie_chart,500,500,26,RENDERS,,
pie_chart2,500,500,16,RENDERS,,
player_info,500,500,57,RENDERS,,
plot2,500,500,3,RENDERS,,
plot3,500,500,3,RENDERS,,
plot4,500,500,3,RENDERS,,
plot_wave,500,500,123,RENDERS,,
pressure_gauge,500,500,62,RENDERS,,
procedure_center_text1,300,300,3,RENDERS,,
procedure_gradient1,300,300,2,RENDERS,,
procedure_gradient2,300,300,2,RENDERS,,
procedure_gradient3,300,300,2,RENDERS,,
procedure_gradient4,300,300,2,RENDERS,,
procedure_look_up1,300,300,2,RENDERS,,
procedure_simple1,600,600,1,RENDERS,,
procedure_simple2,300,300,1,RENDERS,,
procedure_simple3,300,300,1,RENDERS,,
procedure_simple4,300,300,1,RENDERS,,
procedure_simple5,300,300,1,RENDERS,,
procedure_simple6,300,300,5,RENDERS,,
procedure_simple_clock_fast,300,300,2,RENDERS,,
procedure_simple_clock_slow,300,300,2,RENDERS,,
procedure_text_path_effects,300,300,4,RENDERS,,
procedure_version,300,300,3,RENDERS,,
sensor_demo_acc_sensor1,300,300,6,RENDERS,,
sensor_demo_compass,300,300,3,RENDERS,,
sensor_demo_gyro_sensor1,300,300,4,RENDERS,,
sensor_demo_light_sensor1,300,300,7,RENDERS,,
sensor_demo_mag_sensor1,300,300,6,RENDERS,,
server_clock,500,500,4,RENDERS,,
shader_calendar,1000,6739,118,RENDERS,,
